[2023-03-26 11:55:45] WeeChat 3.8 (compiled on Mar 16 2023 14:43:13)
[2023-03-26 11:55:45] Reading configuration file sec.conf
[2023-03-26 11:55:45] Reading configuration file weechat.conf
[2023-03-26 11:55:45] Reading configuration file plugins.conf
[2023-03-26 11:55:45] Reading configuration file charset.conf
[2023-03-26 11:55:45] Reading configuration file logger.conf
[2023-03-26 11:55:45] Reading configuration file exec.conf
[2023-03-26 11:55:45] Reading configuration file trigger.conf
[2023-03-26 11:55:45] Reading configuration file spell.conf
[2023-03-26 11:55:45] Reading configuration file alias.conf
[2023-03-26 11:55:45] Reading configuration file buflist.conf
[2023-03-26 11:55:45] Reading configuration file fifo.conf
[2023-03-26 11:55:45] Reading configuration file typing.conf
[2023-03-26 11:55:45] Reading configuration file xfer.conf
[2023-03-26 11:55:45] Reading configuration file irc.conf
[2023-03-26 11:55:45] Reading configuration file relay.conf
[2023-03-26 11:55:45] Reading configuration file lua.conf
[2023-03-26 11:55:45] Reading configuration file perl.conf
[2023-03-26 11:55:45] Reading configuration file python.conf
[2023-03-26 11:55:45] Reading configuration file ruby.conf
[2023-03-26 11:55:45] Reading configuration file tcl.conf
[2023-03-26 11:55:45] Reading configuration file script.conf
[2023-03-26 11:55:45] Reading configuration file fset.conf
[2023-03-26 14:55:07] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:56:18] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:57:18] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:57:45] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:58:05] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:58:45] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:59:10] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:59:30] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:59:49] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:00:09] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:00:49] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:02:09] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:04:49] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:06:07] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:09:42] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:10:02] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:10:42] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:12:02] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:14:42] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:17:09] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:18:04] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:19:34] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:20:11] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:21:02] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:22:14] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:25:01] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:35:55] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:36:15] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:41:18] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:42:38] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:47:10] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:48:59] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:49:23] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:49:42] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:51:08] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:58:55] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:59:15] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 16:00:48] irc: connecting to server 127.0.0.1/3232...
