[2023-03-26 08:38:51] WeeChat 3.8 (compiled on Mar 16 2023 14:43:13)
[2023-03-26 08:38:51] Writing configuration file sec.conf (default options)
[2023-03-26 08:38:51] Reading configuration file sec.conf
[2023-03-26 08:38:51] Writing configuration file weechat.conf (default options)
[2023-03-26 08:38:51] Reading configuration file weechat.conf
[2023-03-26 08:38:52] Writing configuration file plugins.conf (default options)
[2023-03-26 08:38:52] Reading configuration file plugins.conf
[2023-03-26 08:38:52] Writing configuration file charset.conf (default options)
[2023-03-26 08:38:52] Reading configuration file charset.conf
[2023-03-26 08:38:52] Writing configuration file logger.conf (default options)
[2023-03-26 08:38:52] Reading configuration file logger.conf
[2023-03-26 08:38:52] Writing configuration file exec.conf (default options)
[2023-03-26 08:38:52] Reading configuration file exec.conf
[2023-03-26 08:38:52] Writing configuration file trigger.conf (default options)
[2023-03-26 08:38:52] Reading configuration file trigger.conf
[2023-03-26 08:38:52] Writing configuration file spell.conf (default options)
[2023-03-26 08:38:52] Reading configuration file spell.conf
[2023-03-26 08:38:52] Writing configuration file alias.conf (default options)
[2023-03-26 08:38:52] Reading configuration file alias.conf
[2023-03-26 08:38:52] Writing configuration file buflist.conf (default options)
[2023-03-26 08:38:52] Reading configuration file buflist.conf
[2023-03-26 08:38:52] Writing configuration file fifo.conf (default options)
[2023-03-26 08:38:52] Reading configuration file fifo.conf
[2023-03-26 08:38:52] Writing configuration file typing.conf (default options)
[2023-03-26 08:38:52] Reading configuration file typing.conf
[2023-03-26 08:38:52] Writing configuration file xfer.conf (default options)
[2023-03-26 08:38:52] Reading configuration file xfer.conf
[2023-03-26 08:38:52] Writing configuration file irc.conf (default options)
[2023-03-26 08:38:52] Reading configuration file irc.conf
[2023-03-26 08:38:52] Writing configuration file relay.conf (default options)
[2023-03-26 08:38:52] Reading configuration file relay.conf
[2023-03-26 08:38:52] Writing configuration file lua.conf (default options)
[2023-03-26 08:38:52] Reading configuration file lua.conf
[2023-03-26 08:38:52] Writing configuration file perl.conf (default options)
[2023-03-26 08:38:52] Reading configuration file perl.conf
[2023-03-26 08:38:52] Writing configuration file python.conf (default options)
[2023-03-26 08:38:52] Reading configuration file python.conf
[2023-03-26 08:38:52] Writing configuration file ruby.conf (default options)
[2023-03-26 08:38:52] Reading configuration file ruby.conf
[2023-03-26 08:38:52] Writing configuration file tcl.conf (default options)
[2023-03-26 08:38:52] Reading configuration file tcl.conf
[2023-03-26 08:38:52] Writing configuration file script.conf (default options)
[2023-03-26 08:38:52] Reading configuration file script.conf
[2023-03-26 08:38:52] Writing configuration file fset.conf (default options)
[2023-03-26 08:38:52] Reading configuration file fset.conf
[2023-03-26 11:33:12] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:34:32] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:37:12] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:42:06] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:43:24] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:45:40] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:46:11] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:47:22] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:47:39] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:47:59] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:48:39] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:48:56] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:49:30] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:49:47] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:50:07] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:50:47] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:51:46] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:52:06] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:52:46] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:53:57] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:55:00] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:55:20] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:56:00] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 11:57:20] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:02:01] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:02:57] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:10:07] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:10:27] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:11:07] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:12:27] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:15:07] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:15:31] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:22:52] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:23:12] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:23:52] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:25:12] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:27:52] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:33:12] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:43:12] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:53:12] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:57:23] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:57:43] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:57:51] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:59:13] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 12:59:33] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:00:13] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:01:02] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:01:22] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:02:33] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:04:51] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:05:11] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:05:51] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:16:20] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:23:54] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:26:00] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:27:06] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:27:26] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:28:06] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:30:09] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:30:29] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:31:09] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:31:59] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:33:33] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:34:43] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:35:03] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:35:31] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:35:41] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:36:01] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:36:41] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:38:01] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:40:41] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:44:21] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:44:31] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:44:51] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:45:31] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:48:41] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:49:01] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:49:41] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:50:44] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:56:47] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 13:58:20] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:00:28] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:00:48] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:01:11] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:02:44] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:03:44] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:04:55] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:06:26] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:06:46] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:11:50] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:15:11] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:15:33] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:25:34] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:25:54] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:26:35] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:29:09] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:33:32] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:34:40] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:36:03] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:54:08] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:55:07] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:56:18] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:57:18] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:57:45] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:58:05] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:58:45] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:59:10] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:59:30] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 14:59:49] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:00:09] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:00:49] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:01:26] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:02:17] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:02:37] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:03:17] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:04:59] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:05:57] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:06:17] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:09:42] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:10:02] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:10:42] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:12:02] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:13:56] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:17:09] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:18:04] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:19:34] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:20:11] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:21:02] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:22:14] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:25:01] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:35:55] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:36:15] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:41:18] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:47:10] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:48:59] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:49:23] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:49:42] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:51:08] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:58:55] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 15:59:15] irc: connecting to server 127.0.0.1/3232...
[2023-03-26 16:00:48] irc: connecting to server 127.0.0.1/3232...
